school_code,candidate_code,lw_code,promotion_to_full_professor,candidate_discipline_cip_category_as_numeric,candidate_discipline_stem_status_sbs_included,candidate_urm_num,candidate_gender_num,gender_by_urm_candidate,woman_urm_candidate_num,h_index_at_pt_standardized,number_of_external_grantsawarded_as_the_pi,years_in_present_rank,department_negative_vote_percentage,college_committee_negative_vote_percentage,department_unanimous_vote_abstentions_excluded,college_committee_unanimous_vote_abstentions_excluded,provost_vote,scholarship,tone,clout,authentic,analytic
6,600001,600001d,0,V,0,0,1,Woman non-URM,0,-0.91835055,2,7,0,0,1,1,1,0,65.4,40.06,22.91,83.42
6,600001,600001e,0,V,0,0,1,Woman non-URM,0,-0.91835055,2,7,0,0,1,1,1,0,52.77,28.95,26.94,89.82
6,600001,600001f,0,V,0,0,1,Woman non-URM,0,-0.91835055,2,7,0,0,1,1,1,0.04,57.49,27.52,28.24,70.19
6,600001,600001g,0,V,0,0,1,Woman non-URM,0,-0.91835055,2,7,0,0,1,1,1,,,,,
6,600002,600002a,0,O,1,0,0,Man non-URM,0,0.345838396,3,3,0,0,1,1,1,0,34.81,75.26,3,82.19
6,600002,600002b,0,O,1,0,0,Man non-URM,0,0.345838396,3,3,0,0,1,1,1,1.28,68.66,68.51,5.09,90.05
6,600002,600002c,0,O,1,0,0,Man non-URM,0,0.345838396,3,3,0,0,1,1,1,0.87,57.31,38.61,20.01,91.59
6,600002,600002d,0,O,1,0,0,Man non-URM,0,0.345838396,3,3,0,0,1,1,1,0.37,58.12,51.16,9.79,95.59
6,600002,600002e,0,O,1,0,0,Man non-URM,0,0.345838396,3,3,0,0,1,1,1,0.16,72.52,29.08,47.14,80.94
6,600002,600002f,0,O,1,0,0,Man non-URM,0,0.345838396,3,3,0,0,1,1,1,1.06,52.95,60.72,6.96,92.48
6,600003,600003a,0,I,0,1,1,Woman URM,1,-1.015595853,0,5,0,0,1,1,1,0.06,44.05,55.3,17.74,93.67
6,600003,600003b,0,I,0,1,1,Woman URM,1,-1.015595853,0,5,0,0,1,1,1,0,61.47,65.24,17.44,91.7
6,600003,600003c,0,I,0,1,1,Woman URM,1,-1.015595853,0,5,0,0,1,1,1,0.16,47.53,78.32,7.39,93.43
6,600003,600003d,0,I,0,1,1,Woman URM,1,-1.015595853,0,5,0,0,1,1,1,0.24,59.39,64.64,12.91,94.78
6,600003,600003e,0,I,0,1,1,Woman URM,1,-1.015595853,0,5,0,0,1,1,1,0.03,46.12,54.33,23.3,88.92
6,600003,600003f,0,I,0,1,1,Woman URM,1,-1.015595853,0,5,0,0,1,1,1,0.17,62.31,59.3,15.96,87.71
6,600003,600003g,0,I,0,1,1,Woman URM,1,-1.015595853,0,5,0,0,1,1,1,0,47.46,72.28,17.58,88.01
6,600004,600004a,0,AB,0,0,1,Woman non-URM,0,,0,7,0.125,0,0,1,0,0.1,50.83,59.61,27.23,85.89
6,600004,600004b,0,AB,0,0,1,Woman non-URM,0,,0,7,0.125,0,0,1,0,0.17,82.6,61.53,4.82,85.54
6,600004,600004c,0,AB,0,0,1,Woman non-URM,0,,0,7,0.125,0,0,1,0,0,40.13,59.17,8.21,92.39
6,600004,600004d,0,AB,0,0,1,Woman non-URM,0,,0,7,0.125,0,0,1,0,0,36.77,58.24,22.88,90.08
6,600004,600004e,0,AB,0,0,1,Woman non-URM,0,,0,7,0.125,0,0,1,0,0,52.6,43.92,35.68,90.73
6,600005,600005a,0,I,0,0,0,Man non-URM,0,-1.112841157,1,3,0,0,1,1,1,0,58.26,63.29,11.8,68.8
6,600005,600005b,0,I,0,0,0,Man non-URM,0,-1.112841157,1,3,0,0,1,1,1,0.33,49.36,54.88,7.73,92.19
6,600005,600005c,0,I,0,0,0,Man non-URM,0,-1.112841157,1,3,0,0,1,1,1,0.19,60.56,65.82,11.5,90.28
6,600005,600005d,0,I,0,0,0,Man non-URM,0,-1.112841157,1,3,0,0,1,1,1,0.11,34.07,40.7,22.89,95.99
6,600005,600005e,0,I,0,0,0,Man non-URM,0,-1.112841157,1,3,0,0,1,1,1,0,44.06,56.8,13.04,91.78
6,600005,600005f,0,I,0,0,0,Man non-URM,0,-1.112841157,1,3,0,0,1,1,1,0.04,42.31,36.52,25.6,77.2
6,600005,600005g,0,I,0,0,0,Man non-URM,0,-1.112841157,1,3,0,0,1,1,1,0.18,56.67,35.94,34.26,84.23
6,600005,600005h,0,I,0,0,0,Man non-URM,0,-1.112841157,1,3,0,0,1,1,1,0.4,42.79,63.26,11.84,85.16
6,600005,600005i,0,I,0,0,0,Man non-URM,0,-1.112841157,1,3,0,0,1,1,1,0.07,51.16,42.81,15.53,93.75
6,600006,600006a,1,W,0,0,0,Man non-URM,0,-0.91835055,1,5,0,0,1,1,1,0,52.37,25.81,44.53,83.8
6,600006,600006b,1,W,0,0,0,Man non-URM,0,-0.91835055,1,5,0,0,1,1,1,0,72.31,44.98,30.51,92.18
6,600006,600006c,1,W,0,0,0,Man non-URM,0,-0.91835055,1,5,0,0,1,1,1,0,66.03,41.73,54.94,82.65
6,600006,600006d,1,W,0,0,0,Man non-URM,0,-0.91835055,1,5,0,0,1,1,1,0.06,59.63,43.08,59.04,79.28
6,600006,600006e,1,W,0,0,0,Man non-URM,0,-0.91835055,1,5,0,0,1,1,1,0,43.92,36.24,42.96,90.27
6,600006,600006f,1,W,0,0,0,Man non-URM,0,-0.91835055,1,5,0,0,1,1,1,0,34.42,36.2,39.73,88.87
6,600007,600007a,1,P,1,0,0,Man non-URM,0,,3,9,0,0,1,1,1,0,65.56,41.02,17.35,93.12
6,600007,600007b,1,P,1,0,0,Man non-URM,0,,3,9,0,0,1,1,1,0,44.51,46.77,7.57,97.22
6,600007,600007c,1,P,1,0,0,Man non-URM,0,,3,9,0,0,1,1,1,0,46.21,36.53,30.92,92.52
6,600007,600007d,1,P,1,0,0,Man non-URM,0,,3,9,0,0,1,1,1,0,29.71,37.63,16.63,96.37
6,600007,600007e,1,P,1,0,0,Man non-URM,0,,3,9,0,0,1,1,1,0,35.39,44.94,13.72,92.97
6,600007,600007f,1,P,1,0,0,Man non-URM,0,,3,9,0,0,1,1,1,0.31,57.91,45.63,26.5,92.47
6,600008,600008a,1,V,0,0,1,Woman non-URM,0,-1.307331764,0,6,0,0,1,1,1,0,23.72,59.22,20.22,91.52
6,600008,600008b,1,V,0,0,1,Woman non-URM,0,-1.307331764,0,6,0,0,1,1,1,0,73.53,66.75,10.57,79.94
6,600008,600008c,1,V,0,0,1,Woman non-URM,0,-1.307331764,0,6,0,0,1,1,1,0.08,39.67,40.56,23.65,84.96
6,600008,600008d,1,V,0,0,1,Woman non-URM,0,-1.307331764,0,6,0,0,1,1,1,0,38.18,59.78,10.97,96.39
6,600008,600008e,1,V,0,0,1,Woman non-URM,0,-1.307331764,0,6,0,0,1,1,1,0.05,58.38,52.52,21.77,92.28
6,600009,600009a,1,D,0,0,0,Man non-URM,0,-0.626614639,0,11,0,0,1,1,1,0.16,40.79,42,40.47,96.03
6,600009,600009b,1,D,0,0,0,Man non-URM,0,-0.626614639,0,11,0,0,1,1,1,0,44.33,25.41,42.66,70.55
